,Position,Velocity,Torque,Current
328,2097107.0,328000.0,17.6,5333.9
329,2097431.0,326500.0,18.56,5346.0
330,2097758.0,325750.0,19.52,5353.7
331,2098082.0,325500.0,19.84,5365.8
332,2098411.0,326000.0,20.16,5371.3
333,2098741.0,327500.0,20.16,5376.8
334,2099072.0,328500.0,20.48,5380.1
335,2099406.0,331000.0,20.48,5381.2
336,2099738.0,331750.0,16.64,5383.4
337,2100073.0,333000.0,16.64,5383.4
338,2100405.0,333250.0,16.96,5385.6
339,2100737.0,332750.0,17.28,5388.9
340,2101067.0,332250.0,18.56,5393.3
341,2101393.0,330000.0,19.2,5403.2
342,2101722.0,329250.0,19.84,5408.7
343,2102048.0,327750.0,20.48,5418.6
344,2102377.0,327500.0,16.64,5424.1
345,2102705.0,328000.0,16.64,5431.8
346,2103035.0,328250.0,17.6,5436.2
347,2103367.0,329750.0,18.24,5439.5
348,2103697.0,330000.0,18.88,5443.9
349,2104033.0,332000.0,19.84,5442.8
350,2104370.0,333750.0,20.16,5439.5
351,2104709.0,335500.0,20.8,5435.1
352,2105053.0,339000.0,16.96,5424.1
353,2105397.0,341000.0,16.32,5414.2
354,2105742.0,343000.0,16.64,5402.1
355,2106089.0,345000.0,16.96,5388.9
356,2106436.0,345750.0,17.6,5374.6
357,2106779.0,345500.0,17.92,5365.8
358,2107125.0,345750.0,17.92,5352.6
359,2107468.0,344750.0,18.24,5343.8
360,2107807.0,342750.0,16.32,5338.3
361,2108148.0,342250.0,16.32,5331.7
362,2108488.0,340750.0,16.64,5325.1
363,2108825.0,339250.0,17.28,5322.9
364,2109164.0,339250.0,17.28,5317.4
365,2109503.0,338750.0,17.28,5313.0
366,2109842.0,338500.0,16.96,5307.5
367,2110183.0,339500.0,16.32,5300.9
368,2110523.0,339750.0,15.68,5294.3
369,2110862.0,339750.0,15.04,5289.9
370,2111200.0,339500.0,14.4,5285.5
371,2111534.0,337750.0,14.72,5286.6
372,2111866.0,335750.0,14.72,5288.8
373,2112197.0,333750.0,14.72,5293.2
374,2112522.0,330500.0,15.04,5303.1
375,2112848.0,328500.0,15.36,5313.0
376,2113171.0,326250.0,16.32,5325.1
377,2113497.0,325000.0,16.64,5335.0
378,2113821.0,324750.0,15.68,5346.0
379,2114148.0,325000.0,16.64,5354.8
380,2114475.0,326000.0,16.32,5362.5
381,2114803.0,326500.0,16.64,5370.2
382,2115133.0,328000.0,16.0,5374.6
383,2115463.0,328750.0,15.68,5380.1
384,2115796.0,330250.0,17.92,5381.2
385,2116128.0,331250.0,17.92,5384.5
386,2116463.0,332500.0,17.28,5383.4
387,2116796.0,333250.0,17.6,5385.6
388,2117129.0,333250.0,17.6,5386.7
389,2117461.0,333250.0,17.6,5390.0
390,2117789.0,331500.0,17.6,5396.6
391,2118119.0,330750.0,17.6,5402.1
392,2118446.0,329250.0,17.6,5409.8
393,2118773.0,328000.0,20.8,5418.6
394,2119101.0,328000.0,20.16,5425.2
395,2119429.0,327500.0,20.16,5432.9
396,2119759.0,328250.0,19.84,5437.3
397,2120089.0,329000.0,18.88,5442.8
398,2120424.0,330750.0,18.24,5441.7
399,2120762.0,333250.0,17.6,5438.4
400,2121101.0,335500.0,17.92,5432.9
401,2121444.0,338750.0,17.92,5424.1
402,2121788.0,341000.0,16.96,5413.1
403,2122131.0,342250.0,15.68,5404.3
404,2122475.0,343500.0,15.68,5393.3
405,2122819.0,343750.0,14.72,5383.4
406,2123159.0,342750.0,14.4,5376.8
407,2123500.0,342250.0,13.76,5370.2
408,2123841.0,341500.0,14.4,5362.5
409,2124179.0,340000.0,14.72,5359.2
410,2124518.0,339750.0,15.04,5353.7
411,2124858.0,339500.0,14.08,5348.2
412,2125197.0,339000.0,14.4,5342.7
413,2125537.0,339500.0,14.72,5337.2
414,2125876.0,339500.0,15.04,5331.7
415,2126215.0,339250.0,15.04,5327.3
416,2126555.0,339500.0,15.04,5320.7
417,2126894.0,339250.0,15.36,5316.3
418,2127233.0,339250.0,15.68,5310.8
419,2127573.0,339500.0,15.36,5305.3
420,2127908.0,338250.0,15.68,5304.2
421,2128244.0,337500.0,16.64,5303.1
422,2128577.0,336000.0,17.28,5304.2
423,2128907.0,333500.0,17.6,5309.7
424,2129236.0,332000.0,18.24,5315.2
425,2129560.0,329000.0,17.6,5327.3
426,2129887.0,327500.0,19.2,5335.0
427,2130210.0,325750.0,19.84,5348.2
428,2130537.0,325250.0,19.52,5355.9
429,2130863.0,325750.0,20.16,5365.8
430,2131191.0,326000.0,20.48,5372.4
431,2131521.0,327750.0,20.48,5377.9
432,2131852.0,328750.0,20.16,5381.2
433,2132186.0,330750.0,17.6,5382.3
434,2132518.0,331750.0,17.6,5384.5
435,2132852.0,332750.0,17.92,5385.6
436,2133185.0,333250.0,16.64,5386.7
437,2133516.0,332500.0,17.92,5391.1
438,2133847.0,332250.0,18.88,5394.4
439,2134174.0,330500.0,19.52,5403.2
440,2134502.0,329250.0,20.16,5409.8
441,2134829.0,328250.0,16.64,5418.6
442,2135155.0,327000.0,17.6,5427.4
443,2135484.0,327500.0,18.24,5434.0
444,2135814.0,328000.0,17.92,5438.4
445,2136146.0,329250.0,19.52,5441.7
446,2136478.0,330750.0,19.52,5443.9
447,2136815.0,332750.0,20.16,5441.7
448,2137153.0,334750.0,19.84,5437.3
449,2137492.0,336500.0,16.64,5432.9
450,2137835.0,339250.0,16.96,5423.0
451,2138181.0,341500.0,17.92,5410.9
452,2138525.0,343000.0,17.6,5399.9
453,2138872.0,345000.0,16.96,5386.7
454,2139219.0,346000.0,17.6,5372.4
455,2139562.0,345250.0,17.92,5363.6
456,2139906.0,345250.0,17.92,5352.6
457,2140249.0,344250.0,16.32,5343.8
458,2140587.0,342000.0,16.64,5339.4
459,2140927.0,341250.0,17.28,5333.9
460,2141266.0,340000.0,18.24,5328.4
461,2141602.0,338250.0,17.28,5327.3
462,2141942.0,338750.0,17.6,5320.7
463,2142281.0,338500.0,17.6,5316.3
464,2142619.0,338250.0,16.96,5311.9
465,2142960.0,339500.0,15.68,5305.3
466,2143300.0,339500.0,15.36,5298.7
467,2143637.0,339000.0,15.68,5296.5
468,2143975.0,339000.0,15.68,5292.1
469,2144310.0,337500.0,14.72,5292.1
470,2144643.0,335750.0,14.72,5293.2
